T_y,T_s,lam_s,lam_adj,iou_intra,T_cost,adjacent_only,T_y_opp,mutual_best,per_class_T_y,n,pct_exact,pct_within_1,pct_within_2,mae_total,mae_B1,mae_B2,mae_B3,mae_B4
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,,False,{'B3': 0.03},197,0.15736040609137056,0.47715736040609136,0.6903553299492385,1.9593908629441625,0.29949238578680204,0.6852791878172588,1.0101522842639594,0.583756345177665
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,,False,{'B3': 0.05},197,0.14213197969543148,0.38071065989847713,0.6142131979695431,2.2588832487309647,0.29949238578680204,0.6852791878172588,1.0659898477157361,0.583756345177665
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,,False,{'B3': 0.07},197,0.08629441624365482,0.28426395939086296,0.47715736040609136,2.685279187817259,0.29949238578680204,0.6852791878172588,1.3908629441624365,0.583756345177665
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,0.03,False,{},197,0.05583756345177665,0.233502538071066,0.39593908629441626,3.081218274111675,0.2893401015228426,0.6700507614213198,1.8274111675126903,0.5583756345177665
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,0.03,False,{'B3': 0.03},197,0.15736040609137056,0.4873096446700508,0.6903553299492385,1.9289340101522843,0.2893401015228426,0.6700507614213198,1.0101522842639594,0.5583756345177665
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,0.03,False,{'B3': 0.05},197,0.15228426395939088,0.43147208121827413,0.6446700507614214,2.1421319796954315,0.2893401015228426,0.6700507614213198,1.0406091370558375,0.5583756345177665
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,0.03,False,{'B3': 0.07},197,0.116751269035533,0.3299492385786802,0.5380710659898477,2.482233502538071,0.2893401015228426,0.6700507614213198,1.2690355329949239,0.5583756345177665
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,,True,{},197,0.06598984771573604,0.15736040609137056,0.38578680203045684,3.269035532994924,0.4213197969543147,0.7106598984771574,1.7715736040609138,0.5279187817258884
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,,True,{'B3': 0.03},197,0.06091370558375635,0.15736040609137056,0.36548223350253806,3.2893401015228427,0.4213197969543147,0.7106598984771574,1.8020304568527918,0.5279187817258884
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,,True,{'B3': 0.05},197,0.06598984771573604,0.16751269035532995,0.38071065989847713,3.238578680203046,0.4213197969543147,0.7106598984771574,1.7411167512690355,0.5279187817258884
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,,True,{'B3': 0.07},197,0.06598984771573604,0.16243654822335024,0.38071065989847713,3.269035532994924,0.4213197969543147,0.7106598984771574,1.781725888324873,0.5279187817258884
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,0.03,True,{},197,0.06598984771573604,0.15736040609137056,0.38071065989847713,3.2741116751269037,0.4213197969543147,0.7106598984771574,1.7715736040609138,0.5228426395939086
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,0.03,True,{'B3': 0.03},197,0.06091370558375635,0.15736040609137056,0.3604060913705584,3.2944162436548226,0.4213197969543147,0.7106598984771574,1.8020304568527918,0.5228426395939086
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,0.03,True,{'B3': 0.05},197,0.06598984771573604,0.16751269035532995,0.3756345177664975,3.263959390862944,0.4213197969543147,0.7106598984771574,1.7614213197969544,0.5228426395939086
0.15,3.0,0.0,0.08,0.5,0.23000099999999998,False,0.03,True,{'B3': 0.07},197,0.06598984771573604,0.16243654822335024,0.3756345177664975,3.279187817258883,0.4213197969543147,0.7106598984771574,1.7868020304568528,0.5228426395939086
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,,False,{},197,0.04060913705583756,0.20304568527918782,0.3756345177664975,3.1776649746192893,0.30456852791878175,0.6751269035532995,1.8274111675126903,0.5939086294416244
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,,False,{'B3': 0.03},197,0.14213197969543148,0.4416243654822335,0.6954314720812182,2.0,0.30456852791878175,0.6751269035532995,0.9949238578680203,0.5939086294416244
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,,False,{'B3': 0.05},197,0.15228426395939088,0.37055837563451777,0.5888324873096447,2.2741116751269037,0.30456852791878175,0.6751269035532995,1.0558375634517767,0.5939086294416244
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,,False,{'B3': 0.07},197,0.08121827411167512,0.2893401015228426,0.4720812182741117,2.730964467005076,0.30456852791878175,0.6751269035532995,1.4213197969543148,0.5939086294416244
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,0.03,False,{},197,0.05583756345177665,0.23857868020304568,0.4010152284263959,3.030456852791878,0.29441624365482233,0.649746192893401,1.7715736040609138,0.5685279187817259
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,0.03,False,{'B3': 0.03},197,0.14720812182741116,0.4467005076142132,0.7106598984771574,1.9492385786802031,0.29441624365482233,0.649746192893401,0.9949238578680203,0.5685279187817259
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,0.03,False,{'B3': 0.05},197,0.15736040609137056,0.39086294416243655,0.6294416243654822,2.182741116751269,0.29441624365482233,0.649746192893401,1.0456852791878173,0.5685279187817259
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,0.03,False,{'B3': 0.07},197,0.09644670050761421,0.3401015228426396,0.5025380710659898,2.5380710659898478,0.29441624365482233,0.649746192893401,1.3096446700507614,0.5685279187817259
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,,True,{},197,0.04568527918781726,0.19796954314720813,0.39593908629441626,3.116751269035533,0.4263959390862944,0.6091370558375635,1.7715736040609138,0.5126903553299492
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,,True,{'B3': 0.03},197,0.04568527918781726,0.18274111675126903,0.39593908629441626,3.1573604060913705,0.4263959390862944,0.6091370558375635,1.8121827411167513,0.5126903553299492
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,,True,{'B3': 0.05},197,0.04060913705583756,0.20812182741116753,0.41624365482233505,3.081218274111675,0.4263959390862944,0.6091370558375635,1.7461928934010151,0.5126903553299492
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,,True,{'B3': 0.07},197,0.04060913705583756,0.19796954314720813,0.39593908629441626,3.1370558375634516,0.4263959390862944,0.6091370558375635,1.7918781725888324,0.5126903553299492
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,0.03,True,{},197,0.06091370558375635,0.18781725888324874,0.39086294416243655,3.116751269035533,0.41116751269035534,0.6091370558375635,1.8071065989847717,0.5025380710659898
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,0.03,True,{'B3': 0.03},197,0.050761421319796954,0.17766497461928935,0.39086294416243655,3.1421319796954315,0.41116751269035534,0.6091370558375635,1.8121827411167513,0.5025380710659898
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,0.03,True,{'B3': 0.05},197,0.05583756345177665,0.20304568527918782,0.4010152284263959,3.1015228426395938,0.41116751269035534,0.6091370558375635,1.781725888324873,0.5025380710659898
0.15,3.0,0.1,0.0,0.5,0.25986222886681093,False,0.03,True,{'B3': 0.07},197,0.06091370558375635,0.18781725888324874,0.39086294416243655,3.1218274111675126,0.41116751269035534,0.6091370558375635,1.8121827411167513,0.5025380710659898
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,,False,{},197,0.050761421319796954,0.19796954314720813,0.38071065989847713,3.213197969543147,0.30456852791878175,0.6751269035532995,1.868020304568528,0.5989847715736041
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,,False,{'B3': 0.03},197,0.14213197969543148,0.4416243654822335,0.6903553299492385,2.030456852791878,0.30456852791878175,0.6751269035532995,1.0101522842639594,0.5989847715736041
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,,False,{'B3': 0.05},197,0.14720812182741116,0.37055837563451777,0.5989847715736041,2.2944162436548226,0.30456852791878175,0.6751269035532995,1.0710659898477157,0.5989847715736041
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,,False,{'B3': 0.07},197,0.07614213197969544,0.27918781725888325,0.467005076142132,2.761421319796954,0.30456852791878175,0.6751269035532995,1.4467005076142132,0.5989847715736041
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,0.03,False,{},197,0.05583756345177665,0.233502538071066,0.4010152284263959,3.0761421319796955,0.29949238578680204,0.6598984771573604,1.8020304568527918,0.5685279187817259
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,0.03,False,{'B3': 0.03},197,0.14720812182741116,0.4467005076142132,0.700507614213198,1.9898477157360406,0.29949238578680204,0.6598984771573604,1.0101522842639594,0.5685279187817259
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,0.03,False,{'B3': 0.05},197,0.15228426395939088,0.39593908629441626,0.6192893401015228,2.197969543147208,0.29949238578680204,0.6598984771573604,1.0456852791878173,0.5685279187817259
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,0.03,False,{'B3': 0.07},197,0.08629441624365482,0.3350253807106599,0.5025380710659898,2.5736040609137056,0.29949238578680204,0.6598984771573604,1.3197969543147208,0.5685279187817259
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,,True,{},197,0.06091370558375635,0.19796954314720813,0.4010152284263959,3.1472081218274113,0.41624365482233505,0.6040609137055838,1.8274111675126903,0.5126903553299492
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,,True,{'B3': 0.03},197,0.03553299492385787,0.19796954314720813,0.41116751269035534,3.1269035532994924,0.41624365482233505,0.6040609137055838,1.8071065989847717,0.5126903553299492
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,,True,{'B3': 0.05},197,0.050761421319796954,0.20812182741116753,0.39086294416243655,3.116751269035533,0.41624365482233505,0.6040609137055838,1.7868020304568528,0.5126903553299492
0.15,3.0,0.1,0.03,0.5,0.28986222886681096,False,,True,{'B3': 0.07},197,0.05583756345177665,0.19796954314720813,0.38578680203045684,3.1776649746192893,0.41624365482233505,0.6040609137055838,1.8578680203045685,0.5126903553299492
