tree_id,split,M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp,any_pass,winners
DAMIMAS_A21B_0399,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0400,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0401,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0402,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0403,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0404,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0405,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0406,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0407,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0408,train,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0409,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0410,train,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,"M03,M05,M16,M19,gmb,adp"
DAMIMAS_A21B_0411,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0412,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0413,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0414,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DAMIMAS_A21B_0415,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0416,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0417,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0418,train,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,"M01,M03,M05,M16,M19,M30,M31,M33,gmb,adp"
DAMIMAS_A21B_0419,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0420,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0421,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0422,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0423,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0424,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0425,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0426,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0427,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0428,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0429,train,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,"M01,M03,M05,M06,M07,M08,M30,M31,M33,vis,sid,gmb,med"
DAMIMAS_A21B_0430,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DAMIMAS_A21B_0431,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0432,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0433,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0434,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0435,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0436,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0437,train,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,"M01,M16,M19,M31,adp"
DAMIMAS_A21B_0438,val,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,"M16,M19,M30,M33,adp"
DAMIMAS_A21B_0439,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0440,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DAMIMAS_A21B_0441,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0442,test,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,"M16,M19,M33,adp"
DAMIMAS_A21B_0443,train,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0444,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0445,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0446,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0447,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DAMIMAS_A21B_0448,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0449,test,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,"M16,M19,M30,adp"
DAMIMAS_A21B_0450,train,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,"M19,M33,adp"
DAMIMAS_A21B_0451,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0452,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0453,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0454,train,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,"M01,M03,M05,M16,M19,M30,M31,M33,gmb,adp"
DAMIMAS_A21B_0455,val,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0456,test,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0457,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
DAMIMAS_A21B_0458,train,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"M01,M03,M05,M06,M07,M08,M16,M19,M30,M31,M33,vis,sid,gmb,med,adp"
