tree_id,n_sides,n_total,class,naive,gt,ratio,class_frac
DAMIMAS_A21B_0114,4,9,B2,2,1,2.0,0.2222222222222222
DAMIMAS_A21B_0114,4,9,B3,7,3,2.3333333333333335,0.7777777777777778
DAMIMAS_A21B_0115,3,5,B2,2,1,2.0,0.4
DAMIMAS_A21B_0115,3,5,B3,3,2,1.5,0.6
DAMIMAS_A21B_0118,4,20,B1,3,1,3.0,0.15
DAMIMAS_A21B_0118,4,20,B2,2,1,2.0,0.1
DAMIMAS_A21B_0118,4,20,B3,4,2,2.0,0.2
DAMIMAS_A21B_0118,4,20,B4,11,7,1.5714285714285714,0.55
DAMIMAS_A21B_0119,4,19,B1,5,2,2.5,0.2631578947368421
DAMIMAS_A21B_0119,4,19,B2,9,4,2.25,0.47368421052631576
DAMIMAS_A21B_0119,4,19,B3,5,2,2.5,0.2631578947368421
DAMIMAS_A21B_0120,4,9,B1,3,1,3.0,0.3333333333333333
DAMIMAS_A21B_0120,4,9,B3,2,1,2.0,0.2222222222222222
DAMIMAS_A21B_0120,4,9,B4,4,3,1.3333333333333333,0.4444444444444444
DAMIMAS_A21B_0121,4,21,B2,6,3,2.0,0.2857142857142857
DAMIMAS_A21B_0121,4,21,B3,12,5,2.4,0.5714285714285714
DAMIMAS_A21B_0121,4,21,B4,3,2,1.5,0.14285714285714285
DAMIMAS_A21B_0122,4,13,B1,2,1,2.0,0.15384615384615385
DAMIMAS_A21B_0122,4,13,B2,2,1,2.0,0.15384615384615385
DAMIMAS_A21B_0122,4,13,B3,1,1,1.0,0.07692307692307693
DAMIMAS_A21B_0122,4,13,B4,8,5,1.6,0.6153846153846154
DAMIMAS_A21B_0123,4,17,B2,11,6,1.8333333333333333,0.6470588235294118
DAMIMAS_A21B_0123,4,17,B3,6,3,2.0,0.35294117647058826
DAMIMAS_A21B_0124,4,20,B2,2,1,2.0,0.1
DAMIMAS_A21B_0124,4,20,B3,14,6,2.3333333333333335,0.7
