method,params,mean_MAE,acc_within_1_error,mean_total_error,score,n_trees
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.807,46.05,3.23,37.98,228
visibility,"{'alpha': 1.0, 'sigma': 0.12}",0.7357,45.18,2.94,37.82,228
stack_5,"{'corrected': 0.0, 'graph': 0.0, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.33}",0.7007,44.74,2.8,37.73,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.66, 'visibility': 0.33, 'rich_cluster': 0.0}",0.8783,46.49,3.51,37.71,228
stack_5,"{'corrected': 0.33, 'graph': 0.66, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.8004,45.61,3.2,37.61,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",0.8026,45.61,3.21,37.59,228
visibility,"{'alpha': 0.5, 'sigma': 0.25}",0.7434,44.3,2.97,36.86,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.0}",0.8827,45.61,3.53,36.79,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.66, 'rich_cluster': 0.0}",0.8684,45.18,3.47,36.49,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 1.0, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9068,44.3,3.63,35.23,228
stack_5,"{'corrected': 0.33, 'graph': 0.33, 'adaptive_ridge': 0.66, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9068,44.3,3.63,35.23,228
stack_5,"{'corrected': 0.66, 'graph': 0.33, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9057,43.42,3.62,34.36,228
visibility,"{'alpha': 2.0, 'sigma': 0.08}",0.7961,41.67,3.18,33.71,228
stack_5,"{'corrected': 0.0, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.0, 'rich_cluster': 0.33}",0.818,41.67,3.27,33.49,228
stack_5,"{'corrected': 0.66, 'graph': 0.33, 'adaptive_ridge': 0.0, 'visibility': 0.33, 'rich_cluster': 0.0}",0.8882,42.11,3.55,33.22,228
stack_5,"{'corrected': 0.0, 'graph': 0.66, 'adaptive_ridge': 0.33, 'visibility': 0.33, 'rich_cluster': 0.0}",0.9485,42.54,3.79,33.06,228
stack_5,"{'corrected': 0.33, 'graph': 0.66, 'adaptive_ridge': 0.33, 'visibility': 0.0, 'rich_cluster': 0.0}",0.9616,42.54,3.85,32.93,228
