tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0596,train,adaptive_corrected,False,23,0.0,4.0,3.5,2.5,0.0802,0,0,0,2,8,3,0,2,8,4
DAMIMAS_A21B_0021,train,adaptive_corrected,False,21,3.0,0.0,3.0,3.0,0.0699,0,0,3,0,5,4,3,0,5,4
DAMIMAS_A21B_0264,train,adaptive_corrected,False,22,3.0,3.0,3.25,0.0,0.0,0,0,3,2,7,0,3,2,7,0
DAMIMAS_A21B_0597,train,adaptive_corrected,False,15,0.0,0.0,3.75,0.0,0.0,0,0,0,0,8,0,0,0,8,0
DAMIMAS_A21B_0022,train,adaptive_corrected,False,16,0.0,2.0,2.5,2.0,0.1167,0,0,0,1,5,2,0,1,5,2
DAMIMAS_A21B_0265,train,class_aware_vis,True,22,2.0,1.5,3.0,2.0,0.0634,1,0,1,2,9,1,1,2,8,1
DAMIMAS_A21B_0598,train,adaptive_corrected,False,19,2.0,3.0,3.0,2.0,0.0609,0,-1,1,3,5,1,1,3,5,1
DAMIMAS_A21B_0023,train,class_aware_vis,True,16,2.0,3.0,2.6667,0.0,0.0,0,0,1,4,5,0,1,3,5,0
DAMIMAS_A21B_0266,train,adaptive_corrected,False,21,2.0,2.0,3.0,0.0,0.0,1,0,2,1,9,0,2,1,9,0
DAMIMAS_A21B_0599,train,adaptive_corrected,False,24,3.0,3.0,2.5,2.0,0.0107,0,0,3,4,6,1,3,4,6,2
DAMIMAS_A21B_0024,train,adaptive_corrected,False,20,3.0,0.0,2.75,3.0,0.0563,0,0,2,0,6,4,1,0,6,3
DAMIMAS_A21B_0267,train,adaptive_corrected,False,21,3.0,2.6667,3.5,3.0,0.0536,0,0,2,5,4,2,1,5,4,2
DAMIMAS_A21B_0600,train,adaptive_corrected,False,28,2.5,4.0,3.0,2.3333,0.0732,0,0,3,2,7,5,3,2,7,4
DAMIMAS_A21B_0025,train,adaptive_corrected,False,12,3.0,2.0,3.5,0.0,0.0,0,0,1,1,4,0,1,1,5,0
DAMIMAS_A21B_0268,train,adaptive_corrected,False,28,2.0,4.0,3.5,2.25,0.1025,0,0,2,5,4,6,2,6,5,6
DAMIMAS_A21B_0601,train,adaptive_corrected,False,11,0.0,0.0,3.3333,1.0,0.0,-1,0,0,0,5,1,0,0,5,1
DAMIMAS_A21B_0026,train,adaptive_corrected,False,13,0.0,2.0,2.6667,3.0,0.0562,0,0,0,1,4,2,0,1,4,2
DAMIMAS_A21B_0269,train,adaptive_corrected,False,11,0.0,0.0,2.75,0.0,0.0,0,0,0,0,6,0,0,0,5,0
DAMIMAS_A21B_0602,train,adaptive_corrected,False,26,3.5,3.5,2.6667,4.0,0.0694,1,0,4,4,5,3,4,4,5,3
DAMIMAS_A21B_0027,train,adaptive_corrected,False,21,3.5,0.0,3.6667,1.5,0.0243,0,0,4,0,6,2,3,0,6,2
DAMIMAS_A21B_0270,train,adaptive_corrected,False,16,2.0,3.0,2.75,0.0,0.0,0,0,1,2,6,0,1,2,7,0
