tree_id,split,has_json,n_dets,n_sides,naive_B1,naive_B2,naive_B3,naive_B4,naive_total,corrected_B1,corrected_B2,corrected_B3,corrected_B4,corrected_total,feature_cluster_B1,feature_cluster_B2,feature_cluster_B3,feature_cluster_B4,feature_cluster_total,visibility_B1,visibility_B2,visibility_B3,visibility_B4,visibility_total,learned_graph_B1,learned_graph_B2,learned_graph_B3,learned_graph_B4,learned_graph_total,hungarian_match_B1,hungarian_match_B2,hungarian_match_B3,hungarian_match_B4,hungarian_match_total,cascade_match_B1,cascade_match_B2,cascade_match_B3,cascade_match_B4,cascade_match_total
DAMIMAS_A21B_0277,train,True,17,4,4,1,11,1,17,2,1,6,1,10,1,1,1,1,4,2,1,6,1,10,1,1,1,1,4,2,1,4,1,8,1,1,1,1,4
DAMIMAS_A21B_0278,train,True,20,4,5,1,14,0,20,3,1,8,0,12,1,1,1,0,3,3,1,7,0,11,1,1,1,0,3,2,1,2,0,5,1,1,1,0,3
DAMIMAS_A21B_0279,train,True,24,4,0,11,12,1,24,0,6,7,1,14,0,1,1,1,3,0,6,6,1,13,0,1,1,1,3,0,2,2,1,5,0,1,1,1,3
DAMIMAS_A21B_0280,train,True,18,4,3,4,7,4,18,2,2,4,2,10,1,1,1,2,5,2,2,4,2,10,1,1,1,2,5,1,2,3,2,8,2,1,1,2,6
DAMIMAS_A21B_0281,train,True,21,4,0,1,14,6,21,0,1,8,4,13,0,1,1,1,3,0,1,7,3,11,0,1,1,1,3,0,1,1,2,4,0,1,1,1,3
DAMIMAS_A21B_0282,train,True,17,4,4,4,9,0,17,2,2,5,0,9,1,2,1,0,4,2,2,5,0,9,1,3,1,0,5,2,4,4,0,10,1,4,1,0,6
DAMIMAS_A21B_0283,train,True,20,4,4,8,6,2,20,2,4,3,1,10,1,1,1,1,4,2,4,3,1,10,1,1,1,1,4,2,2,2,1,7,1,1,1,1,4
DAMIMAS_A21B_0284,nonjson,False,16,4,3,4,4,5,16,2,2,2,3,9,1,1,1,1,4,2,2,2,3,9,1,1,1,1,4,1,2,1,3,7,1,1,1,1,4
DAMIMAS_A21B_0285,nonjson,False,32,4,7,4,15,6,32,4,2,8,4,18,1,1,1,1,4,4,2,8,3,17,1,1,1,1,4,2,2,2,3,9,1,1,1,1,4
DAMIMAS_A21B_0286,nonjson,False,19,4,2,5,10,2,19,1,3,6,1,11,2,1,1,2,6,1,3,5,1,10,2,1,1,2,6,2,3,3,2,10,2,2,1,2,7
DAMIMAS_A21B_0287,nonjson,False,14,4,6,8,0,0,14,3,4,0,0,7,1,1,0,0,2,3,4,0,0,7,1,1,0,0,2,2,1,0,0,3,1,1,0,0,2
DAMIMAS_A21B_0288,nonjson,False,20,4,1,7,6,6,20,1,4,3,4,12,1,1,1,1,4,1,4,3,3,11,1,1,1,1,4,1,3,1,3,8,1,1,1,1,4
