tree_id,split,selected_method_v6,selected_method_v9,selector_reason_v9,unstable_gate,total_det,B1_naive,B2_naive,B3_naive,B4_naive,B2_ratio,B3_ratio,B4_ratio,B3_yrange,B4_yrange,pred_B1,pred_B2,pred_B3,pred_B4,gt_B1,gt_B2,gt_B3,gt_B4,ok,error_sum
DAMIMAS_A21B_0594,train,adaptive_corrected,adaptive_corrected,v6_default,False,25,7,8,6,4,4.0,3.0,2.0,0.0744,0.0464,4,5,4,3,4,5,3,3,True,1
DAMIMAS_A21B_0019,train,adaptive_corrected,adaptive_corrected,v6_default,False,25,4,0,15,6,0.0,3.75,3.0,0.172,0.0993,2,0,9,4,2,0,8,3,True,2
DAMIMAS_A21B_0262,train,adaptive_corrected,adaptive_corrected,v6_default,False,24,4,3,14,3,3.0,3.5,1.5,0.2143,0.031,2,2,8,2,2,2,7,2,True,1
DAMIMAS_A21B_0595,train,adaptive_corrected,adaptive_corrected,v6_default,False,24,5,8,11,0,4.0,3.6667,0.0,0.1539,0.0,3,5,6,0,3,4,6,0,True,1
DAMIMAS_A21B_0020,train,adaptive_corrected,adaptive_corrected,v6_default,False,16,2,2,7,5,2.0,3.5,2.5,0.112,0.1194,1,1,4,3,1,1,4,3,True,0
DAMIMAS_A21B_0263,train,class_aware_vis,v8_b2_b4_boosted,classaware_compact_lowb4,True,21,0,14,5,2,3.5,2.5,2.0,0.0931,0.0067,0,7,3,1,0,7,3,1,True,0
DAMIMAS_A21B_0596,train,adaptive_corrected,adaptive_corrected,v6_default,False,23,0,4,14,5,4.0,3.5,2.5,0.2176,0.0802,0,2,8,3,0,2,8,4,True,1
DAMIMAS_A21B_0021,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,6,0,9,6,0.0,3.0,3.0,0.0672,0.0699,3,0,5,4,3,0,5,4,True,0
DAMIMAS_A21B_0264,train,adaptive_corrected,adaptive_corrected,v6_default,False,22,6,3,13,0,3.0,3.25,0.0,0.1217,0.0,3,2,7,0,3,2,7,0,True,0
DAMIMAS_A21B_0597,train,adaptive_corrected,adaptive_corrected,v6_default,False,15,0,0,15,0,0.0,3.75,0.0,0.2153,0.0,0,0,8,0,0,0,8,0,True,0
DAMIMAS_A21B_0022,train,adaptive_corrected,adaptive_corrected,v6_default,False,16,0,2,10,4,2.0,2.5,2.0,0.1006,0.1167,0,1,5,2,0,1,5,2,True,0
DAMIMAS_A21B_0265,train,class_aware_vis,v8_b2_b4_boosted,classaware_compact_lowb4,True,22,2,3,15,2,1.5,3.0,2.0,0.1265,0.0634,1,2,8,1,1,2,8,1,True,0
DAMIMAS_A21B_0598,train,adaptive_corrected,adaptive_corrected,v6_default,False,19,2,6,9,2,3.0,3.0,2.0,0.18,0.0609,1,3,5,1,1,3,5,1,True,0
DAMIMAS_A21B_0023,train,class_aware_vis,class_aware_vis,v6_default,True,16,2,6,8,0,3.0,2.6667,0.0,0.0618,0.0,1,4,5,0,1,3,5,0,True,1
DAMIMAS_A21B_0266,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,4,2,15,0,2.0,3.0,0.0,0.1833,0.0,2,1,9,0,2,1,9,0,True,0
DAMIMAS_A21B_0599,train,adaptive_corrected,adaptive_corrected,v6_default,False,24,6,6,10,2,3.0,2.5,2.0,0.1012,0.0107,3,4,6,1,3,4,6,2,True,1
DAMIMAS_A21B_0024,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,3,0,11,6,0.0,2.75,3.0,0.0741,0.0563,2,0,6,4,1,0,6,3,True,2
DAMIMAS_A21B_0267,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,3,8,7,3,2.6667,3.5,3.0,0.0685,0.0536,2,5,4,2,1,5,4,2,True,1
DAMIMAS_A21B_0600,train,adaptive_corrected,adaptive_corrected,v6_default,False,28,5,4,12,7,4.0,3.0,2.3333,0.1898,0.0732,3,2,7,5,3,2,7,4,True,1
DAMIMAS_A21B_0025,train,adaptive_corrected,adaptive_corrected,v6_default,False,12,3,2,7,0,2.0,3.5,0.0,0.1249,0.0,1,1,4,0,1,1,5,0,True,1
DAMIMAS_A21B_0268,train,adaptive_corrected,adaptive_corrected,v6_default,False,28,4,8,7,9,4.0,3.5,2.25,0.094,0.1025,2,5,4,6,2,6,5,6,True,2
DAMIMAS_A21B_0601,train,adaptive_corrected,adaptive_corrected,v6_default,False,11,0,0,10,1,0.0,3.3333,1.0,0.1209,0.0,0,0,5,1,0,0,5,1,True,0
DAMIMAS_A21B_0026,train,adaptive_corrected,adaptive_corrected,v6_default,False,13,0,2,8,3,2.0,2.6667,3.0,0.0681,0.0562,0,1,4,2,0,1,4,2,True,0
DAMIMAS_A21B_0269,train,adaptive_corrected,adaptive_corrected,v6_default,False,11,0,0,11,0,0.0,2.75,0.0,0.1043,0.0,0,0,6,0,0,0,5,0,True,1
DAMIMAS_A21B_0602,train,adaptive_corrected,adaptive_corrected,v6_default,False,26,7,7,8,4,3.5,2.6667,4.0,0.1553,0.0694,4,4,5,3,4,4,5,3,True,0
DAMIMAS_A21B_0027,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,7,0,11,3,0.0,3.6667,1.5,0.1293,0.0243,4,0,6,2,3,0,6,2,True,1
DAMIMAS_A21B_0270,train,adaptive_corrected,adaptive_corrected,v6_default,False,16,2,3,11,0,3.0,2.75,0.0,0.0843,0.0,1,2,6,0,1,2,7,0,True,1
DAMIMAS_A21B_0603,train,adaptive_corrected,adaptive_corrected,v6_default,False,18,4,7,6,1,3.5,3.0,1.0,0.1423,0.0,2,4,3,1,2,4,3,1,True,0
DAMIMAS_A21B_0028,train,adaptive_corrected,adaptive_corrected,v6_default,True,21,0,1,11,9,1.0,2.75,3.0,0.1506,0.1255,0,1,6,6,0,1,5,6,True,1
DAMIMAS_A21B_0271,train,adaptive_corrected,adaptive_corrected,v6_default,False,22,0,9,10,3,3.0,3.3333,3.0,0.3358,0.054,0,5,6,2,0,6,6,3,True,2
DAMIMAS_A21B_0604,train,adaptive_corrected,adaptive_corrected,v6_default,False,12,0,6,4,2,3.0,2.0,2.0,0.1334,0.0009,0,3,2,1,0,3,2,1,True,0
DAMIMAS_A21B_0029,train,adaptive_corrected,adaptive_corrected,v6_default,False,23,2,6,10,5,3.0,3.3333,2.5,0.0991,0.0566,1,3,6,3,1,2,5,2,True,3
DAMIMAS_A21B_0272,train,adaptive_corrected,adaptive_corrected,v6_default,False,17,2,3,9,3,3.0,3.0,1.5,0.1851,0.0611,1,2,5,2,1,1,5,2,True,1
DAMIMAS_A21B_0605,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,3,4,10,4,2.0,3.3333,2.0,0.1801,0.0839,2,2,6,2,2,2,6,3,True,1
DAMIMAS_A21B_0030,train,adaptive_corrected,adaptive_corrected,v6_default,False,13,0,0,9,4,0.0,3.0,2.0,0.1145,0.1318,0,0,5,2,0,0,5,3,True,1
DAMIMAS_A21B_0273,train,best_visibility_grid,best_visibility_grid,v6_default,True,16,0,2,14,0,2.0,3.5,0.0,0.171,0.0,0,1,7,0,0,1,6,0,True,1
DAMIMAS_A21B_0606,train,class_aware_vis,class_aware_vis,v6_default,True,22,1,7,7,7,2.3333,2.3333,2.3333,0.19,0.1148,1,4,4,4,1,5,4,4,True,1
DAMIMAS_A21B_0031,train,adaptive_corrected,adaptive_corrected,v6_default,False,13,0,2,8,3,2.0,2.6667,1.5,0.1739,0.1765,0,1,4,2,0,1,4,2,True,0
DAMIMAS_A21B_0274,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,0,1,15,4,1.0,3.75,2.0,0.1553,0.1366,0,1,8,2,0,1,8,3,True,1
DAMIMAS_A21B_0607,train,adaptive_corrected,adaptive_corrected,v6_default,False,25,8,8,7,2,2.6667,3.5,2.0,0.1142,0.0352,4,5,4,1,4,4,4,1,True,1
DAMIMAS_A21B_0032,train,adaptive_corrected,adaptive_corrected,v6_default,False,22,4,2,10,6,2.0,3.3333,3.0,0.1068,0.069,2,1,6,4,2,1,5,3,True,2
DAMIMAS_A21B_0275,train,adaptive_corrected,adaptive_corrected,v6_default,False,26,5,6,13,2,3.0,3.25,2.0,0.1128,0.0149,3,4,8,1,3,4,8,2,True,1
DAMIMAS_A21B_0608,train,adaptive_corrected,adaptive_corrected,v6_default,False,22,0,3,14,5,3.0,3.5,2.5,0.1867,0.0636,0,2,8,3,0,2,8,3,True,0
DAMIMAS_A21B_0033,train,adaptive_corrected,adaptive_corrected,v6_default,False,18,0,0,16,2,0.0,4.0,2.0,0.1156,0.0425,0,0,9,1,0,0,8,2,True,2
DAMIMAS_A21B_0276,train,adaptive_corrected,adaptive_corrected,v6_default,False,10,3,2,5,0,2.0,2.5,0.0,0.1253,0.0,1,1,3,0,1,1,3,0,True,0
DAMIMAS_A21B_0609,train,adaptive_corrected,adaptive_corrected,v6_default,False,19,2,4,8,5,2.0,2.6667,2.5,0.1574,0.0917,1,2,4,3,1,2,5,3,True,1
DAMIMAS_A21B_0034,train,adaptive_corrected,adaptive_corrected,v6_default,False,16,0,2,6,8,2.0,3.0,2.6667,0.1194,0.0827,0,1,3,5,0,1,3,6,True,1
DAMIMAS_A21B_0277,train,adaptive_corrected,adaptive_corrected,v6_default,False,17,3,6,8,0,3.0,2.6667,0.0,0.1212,0.0,1,3,4,0,1,3,5,0,True,1
DAMIMAS_A21B_0610,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,0,11,6,3,2.75,3.0,3.0,0.1186,0.0598,0,6,3,2,0,6,4,2,True,1
DAMIMAS_A21B_0035,train,class_aware_vis,class_aware_vis,v6_default,True,13,0,9,4,0,2.25,2.0,0.0,0.091,0.0,0,6,2,0,0,7,2,0,True,1
DAMIMAS_A21B_0278,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,5,7,8,0,3.5,2.6667,0.0,0.1646,0.0,3,4,5,0,2,4,6,0,True,2
DAMIMAS_A21B_0611,train,class_aware_vis,class_aware_vis,v6_default,True,20,0,11,9,0,3.6667,3.0,0.0,0.0863,0.0,0,7,6,0,0,6,5,0,True,2
DAMIMAS_A21B_0036,train,adaptive_corrected,adaptive_corrected,v6_default,False,15,0,2,13,0,2.0,3.25,0.0,0.1158,0.0,0,1,7,0,0,1,7,0,True,0
DAMIMAS_A21B_0279,train,adaptive_corrected,adaptive_corrected,v6_default,False,25,0,8,15,2,2.6667,3.0,2.0,0.1723,0.083,0,5,9,1,0,5,9,1,True,0
DAMIMAS_A21B_0612,train,adaptive_corrected,adaptive_corrected,v6_default,False,14,0,1,13,0,1.0,3.25,0.0,0.2944,0.0,0,1,7,0,0,1,8,0,True,1
DAMIMAS_A21B_0037,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,0,5,11,5,2.5,3.6667,2.5,0.1012,0.0534,0,3,6,3,0,3,5,3,True,1
DAMIMAS_A21B_0280,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,4,4,6,6,2.0,3.0,3.0,0.1377,0.2176,2,2,3,4,2,3,4,4,True,2
DAMIMAS_A21B_0613,train,adaptive_corrected,adaptive_corrected,v6_default,False,10,0,2,6,2,2.0,3.0,2.0,0.1111,0.0097,0,1,3,1,0,1,4,1,True,1
DAMIMAS_A21B_0038,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,4,0,9,8,0.0,3.0,2.6667,0.09,0.0844,2,0,5,5,2,0,5,5,True,0
DAMIMAS_A21B_0281,train,adaptive_corrected,adaptive_corrected,v6_default,True,23,0,0,15,8,0.0,3.0,2.6667,0.1352,0.1142,0,0,9,5,0,0,10,5,True,1
DAMIMAS_A21B_0614,train,adaptive_corrected,adaptive_corrected,v6_default,False,25,3,10,7,5,3.3333,2.3333,2.5,0.195,0.1387,2,6,4,3,2,5,5,4,True,3
DAMIMAS_A21B_0039,train,adaptive_corrected,adaptive_corrected,v6_default,False,15,3,9,3,0,3.0,1.5,0.0,0.0521,0.0,1,5,2,0,2,5,2,0,True,1
DAMIMAS_A21B_0282,train,adaptive_corrected,adaptive_corrected,v6_default,False,18,8,0,10,0,0.0,3.3333,0.0,0.1955,0.0,4,0,6,0,4,0,6,0,True,0
DAMIMAS_A21B_0615,train,adaptive_corrected,adaptive_corrected,v6_default,False,22,5,10,6,1,3.3333,3.0,1.0,0.1445,0.0,3,6,3,1,3,5,3,1,True,1
DAMIMAS_A21B_0040,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,4,3,8,6,3.0,2.6667,3.0,0.1246,0.1004,2,2,5,4,2,2,4,3,True,2
DAMIMAS_A21B_0283,train,adaptive_corrected,adaptive_corrected,v6_default,False,20,4,1,13,2,1.0,3.25,2.0,0.1344,0.0242,2,1,7,1,2,1,7,1,True,0
DAMIMAS_A21B_0616,train,adaptive_corrected,adaptive_corrected,v6_default,False,22,4,4,9,5,4.0,3.0,2.5,0.1557,0.0286,2,2,5,3,2,2,5,4,True,1
DAMIMAS_A21B_0041,train,adaptive_corrected,adaptive_corrected,v6_default,False,23,3,5,10,5,2.5,2.5,2.5,0.1203,0.107,2,3,6,3,2,3,6,3,True,0
DAMIMAS_A21B_0617,train,adaptive_corrected,adaptive_corrected,v6_default,False,21,5,5,9,2,2.5,3.0,2.0,0.2142,0.1169,3,3,5,1,3,3,5,1,True,0
DAMIMAS_A21B_0042,train,adaptive_corrected,adaptive_corrected,v6_default,False,15,5,2,6,2,2.0,3.0,2.0,0.0668,0.009,2,1,3,1,2,1,4,1,True,1
DAMIMAS_A21B_0618,train,adaptive_corrected,adaptive_corrected,v6_default,False,17,6,6,4,1,3.0,4.0,1.0,0.0419,0.0,3,3,2,1,3,4,2,1,True,1
DAMIMAS_A21B_0043,train,best_visibility_grid,best_visibility_grid,v6_default,True,23,3,6,14,0,2.0,3.5,0.0,0.1704,0.0,2,3,7,0,2,3,6,0,True,1
DAMIMAS_A21B_0619,train,adaptive_corrected,adaptive_corrected,v6_default,False,26,11,5,10,0,2.5,3.3333,0.0,0.1724,0.0,6,3,6,0,6,4,6,0,True,1
