tree_id,split,B1_gt,B1_naive,B1_err,B2_gt,B2_naive,B2_err,B3_gt,B3_naive,B3_err,B4_gt,B4_naive,B4_err,total_gt,total_naive,MAE_overall
DAMIMAS_A21B_0282,train,4,8,4,0,0,0,6,10,4,0,0,0,10,18,2.0
DAMIMAS_A21B_0615,train,3,5,2,5,10,5,3,6,3,1,1,0,12,22,2.5
DAMIMAS_A21B_0040,train,2,4,2,2,3,1,4,8,4,3,6,3,11,21,2.5
DAMIMAS_A21B_0283,train,2,4,2,1,1,0,7,13,6,1,2,1,11,20,2.25
DAMIMAS_A21B_0616,train,2,4,2,2,4,2,5,9,4,4,5,1,13,22,2.25
DAMIMAS_A21B_0041,train,2,3,1,3,5,2,6,10,4,3,5,2,14,23,2.25
DAMIMAS_A21B_0617,train,3,5,2,3,5,2,5,9,4,1,2,1,12,21,2.25
DAMIMAS_A21B_0042,train,2,5,3,1,2,1,4,6,2,1,2,1,8,15,1.75
DAMIMAS_A21B_0618,train,3,6,3,4,6,2,2,4,2,1,1,0,10,17,1.75
DAMIMAS_A21B_0043,train,2,3,1,3,6,3,6,14,8,0,0,0,11,23,3.0
DAMIMAS_A21B_0619,train,6,11,5,4,5,1,6,10,4,0,0,0,16,26,2.5
DAMIMAS_A21B_0044,train,2,4,2,1,2,1,4,8,4,1,2,1,8,16,2.0
DAMIMAS_A21B_0620,train,2,4,2,1,2,1,9,16,7,2,3,1,14,25,2.75
DAMIMAS_A21B_0045,train,1,2,1,0,0,0,10,20,10,4,7,3,15,29,3.5
DAMIMAS_A21B_0621,train,3,5,2,3,6,3,8,13,5,2,3,1,16,27,2.75
DAMIMAS_A21B_0622,train,2,4,2,6,10,4,3,6,3,2,4,2,13,24,2.75
DAMIMAS_A21B_0623,train,2,4,2,5,9,4,5,10,5,0,0,0,12,23,2.75
DAMIMAS_A21B_0624,train,3,6,3,1,1,0,8,12,4,2,4,2,14,23,2.25
DAMIMAS_A21B_0625,train,0,0,0,3,5,2,9,16,7,3,6,3,15,27,3.0
DAMIMAS_A21B_0626,train,1,2,1,4,8,4,4,7,3,5,8,3,14,25,2.75
DAMIMAS_A21B_0627,train,2,3,1,4,7,3,4,7,3,0,0,0,10,17,1.75
DAMIMAS_A21B_0628,train,0,0,0,2,4,2,7,12,5,3,6,3,12,22,2.5
DAMIMAS_A21B_0629,train,2,4,2,0,0,0,6,12,6,1,2,1,9,18,2.25
DAMIMAS_A21B_0630,train,1,2,1,5,9,4,3,6,3,3,6,3,12,23,2.75
DAMIMAS_A21B_0631,train,0,0,0,3,5,2,3,5,2,0,0,0,6,10,1.0
DAMIMAS_A21B_0632,train,3,6,3,4,7,3,10,15,5,4,6,2,21,34,3.25
DAMIMAS_A21B_0633,train,0,0,0,0,0,0,2,4,2,0,0,0,2,4,0.5
DAMIMAS_A21B_0634,train,4,7,3,5,10,5,4,6,2,3,6,3,16,29,3.25
DAMIMAS_A21B_0635,train,3,6,3,7,11,4,5,7,2,3,5,2,18,29,2.75
DAMIMAS_A21B_0636,train,0,0,0,1,2,1,7,13,6,3,4,1,11,19,2.0
DAMIMAS_A21B_0637,train,2,3,1,0,0,0,2,3,1,1,2,1,5,8,0.75
DAMIMAS_A21B_0638,train,4,7,3,3,6,3,4,6,2,1,2,1,12,21,2.25
DAMIMAS_A21B_0639,train,2,4,2,1,2,1,10,17,7,1,1,0,14,24,2.5
DAMIMAS_A21B_0640,train,1,2,1,3,5,2,7,14,7,3,4,1,14,25,2.75
DAMIMAS_A21B_0641,train,3,6,3,3,5,2,5,9,4,4,6,2,15,26,2.75
DAMIMAS_A21B_0642,train,1,2,1,1,2,1,3,6,3,3,4,1,8,14,1.5
DAMIMAS_A21B_0644,train,0,0,0,2,3,1,7,14,7,3,6,3,12,23,2.75
DAMIMAS_A21B_0645,train,0,0,0,0,0,0,5,10,5,2,3,1,7,13,1.5
DAMIMAS_A21B_0646,train,0,0,0,4,7,3,5,9,4,2,3,1,11,19,2.0
DAMIMAS_A21B_0647,train,0,0,0,4,7,3,7,12,5,0,0,0,11,19,2.0
DAMIMAS_A21B_0648,train,0,0,0,0,0,0,8,13,5,3,6,3,11,19,2.0
DAMIMAS_A21B_0649,train,0,0,0,1,2,1,9,14,5,3,5,2,13,21,2.0
DAMIMAS_A21B_0650,train,2,4,2,2,3,1,6,9,3,3,4,1,13,20,1.75
DAMIMAS_A21B_0651,train,2,4,2,2,3,1,5,9,4,4,7,3,13,23,2.5
DAMIMAS_A21B_0652,train,2,4,2,3,5,2,4,8,4,2,2,0,11,19,2.0
DAMIMAS_A21B_0653,train,2,4,2,1,2,1,6,9,3,3,5,2,12,20,2.0
DAMIMAS_A21B_0654,train,3,6,3,6,9,3,3,6,3,4,6,2,16,27,2.75
DAMIMAS_A21B_0655,train,2,4,2,1,2,1,7,11,4,2,3,1,12,20,2.0
DAMIMAS_A21B_0656,train,2,4,2,0,0,0,9,15,6,5,6,1,16,25,2.25
DAMIMAS_A21B_0657,train,1,2,1,2,4,2,7,13,6,5,8,3,15,27,3.0
DAMIMAS_A21B_0658,train,1,2,1,2,3,1,3,4,1,1,2,1,7,11,1.0
DAMIMAS_A21B_0659,train,1,2,1,1,2,1,8,15,7,2,3,1,12,22,2.5
DAMIMAS_A21B_0660,train,0,0,0,2,3,1,5,9,4,3,5,2,10,17,1.75
DAMIMAS_A21B_0780,train,0,0,0,0,0,0,1,1,0,4,6,2,5,7,0.5
DAMIMAS_A21B_0781,train,0,0,0,4,7,3,5,9,4,3,6,3,12,22,2.5
DAMIMAS_A21B_0782,train,0,0,0,0,0,0,3,6,3,1,1,0,4,7,0.75
DAMIMAS_A21B_0783,train,1,3,2,2,3,1,8,13,5,3,4,1,14,23,2.25
DAMIMAS_A21B_0784,train,0,0,0,3,6,3,4,6,2,1,1,0,8,13,1.25
DAMIMAS_A21B_0785,train,0,0,0,2,4,2,4,10,6,0,0,0,6,14,2.0
DAMIMAS_A21B_0786,train,1,2,1,1,2,1,1,2,1,0,0,0,3,6,0.75
DAMIMAS_A21B_0787,train,0,0,0,3,5,2,4,7,3,0,0,0,7,12,1.25
DAMIMAS_A21B_0788,train,0,0,0,1,2,1,7,14,7,3,5,2,11,21,2.5
DAMIMAS_A21B_0789,train,2,4,2,5,8,3,4,7,3,5,7,2,16,26,2.5
DAMIMAS_A21B_0790,train,2,4,2,0,0,0,6,11,5,0,0,0,8,15,1.75
